traceID,order,structtype,method1,method2,m1_para,m2_para,class1,class2,m1_return,m2_return
9,10,null,path.CatalogMgr.getInv,path.Inventory.Inventory [overloaded_#001],null,null,CatalogMgr,Inventory,null,null
9,11,null,path.CatalogMgr.getItemImageBytes,path.Inventory.getImgbytes,null,null,CatalogMgr,Inventory,null,null
9,12,null,path.ImageServlet.doGet,path.ImageServlet.performTask,null,null,ImageServlet,ImageServlet,null,null
9,13,null,path.ImageServlet.performTask,path.Util.debug,null,null,ImageServlet,Util,null,null
9,14,null,path.ImageServlet.performTask,path.CatalogMgr.getItemImageBytes,null,null,ImageServlet,CatalogMgr,null,null
9,15,null,path.CatalogMgr.getItemImageBytes,path.CatalogMgr.getInv,null,null,CatalogMgr,CatalogMgr,null,null
9,16,null,path.CatalogMgr.getInv,path.Inventory.Inventory [overloaded_#001],null,null,CatalogMgr,Inventory,null,null
9,17,null,path.CatalogMgr.getItemImageBytes,path.Inventory.getImgbytes,null,null,CatalogMgr,Inventory,null,null
10,0,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,1,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,2,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,3,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,4,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,5,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,6,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,7,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,8,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,9,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,10,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,11,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,12,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,13,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,14,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,15,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,16,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,17,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,18,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,19,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,20,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,21,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,22,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,23,null,path.AccountBean.performAccountUpdate,path.LoginInfo.getEmail,null,null,AccountBean,LoginInfo,null,null
10,24,null,path.AccountBean.performAccountUpdate,path.LoginInfo.getPassword,null,null,AccountBean,LoginInfo,null,null
10,25,null,path.AccountBean.performAccountUpdate,path.Customer.getFirstName,null,null,AccountBean,Customer,null,null
10,26,null,path.AccountBean.performAccountUpdate,path.Customer.getLastName,null,null,AccountBean,Customer,null,null
10,27,null,path.AccountBean.performAccountUpdate,path.Customer.getAddr1,null,null,AccountBean,Customer,null,null
10,28,null,path.AccountBean.performAccountUpdate,path.Customer.getAddr2,null,null,AccountBean,Customer,null,null
10,29,null,path.AccountBean.performAccountUpdate,path.Customer.getAddrCity,null,null,AccountBean,Customer,null,null
10,30,null,path.AccountBean.performAccountUpdate,path.Customer.getAddrState,null,null,AccountBean,Customer,null,null
10,31,null,path.AccountBean.performAccountUpdate,path.Customer.getAddrZip,null,null,AccountBean,Customer,null,null
10,32,null,path.AccountBean.performAccountUpdate,path.Customer.getPhone,null,null,AccountBean,Customer,null,null
10,33,null,path.AccountBean.performAccountUpdate,path.CustomerMgr.createCustomer,null,null,AccountBean,CustomerMgr,null,null
10,34,null,path.CustomerMgr.createCustomer,path.Customer.Customer [overloaded_#002],null,null,CustomerMgr,Customer,null,null
10,35,null,path.Customer.Customer [overloaded_#002],path.Customer.setCustomerID,null,null,Customer,Customer,null,null
10,36,null,path.Customer.Customer [overloaded_#002],path.Customer.setPassword,null,null,Customer,Customer,null,null
10,37,null,path.Customer.Customer [overloaded_#002],path.Customer.setFirstName,null,null,Customer,Customer,null,null
10,38,null,path.Customer.Customer [overloaded_#002],path.Customer.setLastName,null,null,Customer,Customer,null,null
10,39,null,path.Customer.Customer [overloaded_#002],path.Customer.setAddr1,null,null,Customer,Customer,null,null
10,40,null,path.Customer.Customer [overloaded_#002],path.Customer.setAddr2,null,null,Customer,Customer,null,null
10,41,null,path.Customer.Customer [overloaded_#002],path.Customer.setAddrCity,null,null,Customer,Customer,null,null
10,42,null,path.Customer.Customer [overloaded_#002],path.Customer.setAddrState,null,null,Customer,Customer,null,null
10,43,null,path.Customer.Customer [overloaded_#002],path.Customer.setAddrZip,null,null,Customer,Customer,null,null
10,44,null,path.Customer.Customer [overloaded_#002],path.Customer.setPhone,null,null,Customer,Customer,null,null
10,45,null,path.ShoppingCartBean.getSize,path.ShoppingCartBean.getItems,null,null,ShoppingCartBean,ShoppingCartBean,null,null
10,46,null,path.ShoppingCartBean.getSize,path.ShoppingCartBean.getItems,null,null,ShoppingCartBean,ShoppingCartBean,null,null
10,47,null,path.ShoppingCartBean.getSize,path.ShoppingCartBean.getItems,null,null,ShoppingCartBean,ShoppingCartBean,null,null
10,48,null,path.ShoppingCartBean.getSize,path.ShoppingCartBean.getItems,null,null,ShoppingCartBean,ShoppingCartBean,null,null
10,49,null,path.ShoppingCartBean.getSize,path.ShoppingCartBean.getItems,null,null,ShoppingCartBean,ShoppingCartBean,null,null
10,50,null,path.ShoppingCartBean.getSize,path.ShoppingCartBean.getItems,null,null,ShoppingCartBean,ShoppingCartBean,null,null
10,51,null,path.ShoppingCartBean.getSize,path.ShoppingCartBean.getItems,null,null,ShoppingCartBean,ShoppingCartBean,null,null
10,52,null,path.ShoppingCartBean.getSize,path.ShoppingCartBean.getItems,null,null,ShoppingCartBean,ShoppingCartBean,null,null
10,53,null,path.ShoppingCartBean.getSize,path.ShoppingCartBean.getItems,null,null,ShoppingCartBean,ShoppingCartBean,null,null
10,54,null,path.ShoppingCartBean.getSize,path.ShoppingCartBean.getItems,null,null,ShoppingCartBean,ShoppingCartBean,null,null
10,55,null,path.ShoppingCartBean.getSize,path.ShoppingCartBean.getItems,null,null,ShoppingCartBean,ShoppingCartBean,null,null
10,56,null,path.ShoppingCartBean.getSize,path.ShoppingCartBean.getItems,null,null,ShoppingCartBean,ShoppingCartBean,null,null
10,57,null,path.AccountBean.performLogin,path.LoginInfo.LoginInfo,null,null,AccountBean,LoginInfo,null,null
10,58,null,path.AccountBean.performLogin,path.LoginInfo.setMessage,null,null,AccountBean,LoginInfo,null,null
10,59,null,path.ShoppingCartBean.getSize,path.ShoppingCartBean.getItems,null,null,ShoppingCartBean,ShoppingCartBean,null,null
10,60,null,path.ShoppingCartBean.getSize,path.ShoppingCartBean.getItems,null,null,ShoppingCartBean,ShoppingCartBean,null,null
10,61,null,path.ShoppingCartBean.getSize,path.ShoppingCartBean.getItems,null,null,ShoppingCartBean,ShoppingCartBean,null,null
10,62,null,path.AccountBean.performRegister,path.LoginInfo.LoginInfo,null,null,AccountBean,LoginInfo,null,null
10,63,null,path.AccountBean.performRegister,path.Customer.Customer [overloaded_#002],null,null,AccountBean,Customer,null,null
10,64,null,path.Customer.Customer [overloaded_#002],path.Customer.setCustomerID,null,null,Customer,Customer,null,null
10,65,null,path.Customer.Customer [overloaded_#002],path.Customer.setPassword,null,null,Customer,Customer,null,null
10,66,null,path.Customer.Customer [overloaded_#002],path.Customer.setFirstName,null,null,Customer,Customer,null,null
10,67,null,path.Customer.Customer [overloaded_#002],path.Customer.setLastName,null,null,Customer,Customer,null,null
10,68,null,path.Customer.Customer [overloaded_#002],path.Customer.setAddr1,null,null,Customer,Customer,null,null
10,69,null,path.Customer.Customer [overloaded_#002],path.Customer.setAddr2,null,null,Customer,Customer,null,null
10,70,null,path.Customer.Customer [overloaded_#002],path.Customer.setAddrCity,null,null,Customer,Customer,null,null
10,71,null,path.Customer.Customer [overloaded_#002],path.Customer.setAddrState,null,null,Customer,Customer,null,null
10,72,null,path.Customer.Customer [overloaded_#002],path.Customer.setAddrZip,null,null,Customer,Customer,null,null
10,73,null,path.Customer.Customer [overloaded_#002],path.Customer.setPhone,null,null,Customer,Customer,null,null
10,74,null,path.ShoppingCartBean.getSize,path.ShoppingCartBean.getItems,null,null,ShoppingCartBean,ShoppingCartBean,null,null
10,75,null,path.ShoppingCartBean.getSize,path.ShoppingCartBean.getItems,null,null,ShoppingCartBean,ShoppingCartBean,null,null
10,76,null,path.ShoppingCartBean.getSize,path.ShoppingCartBean.getItems,null,null,ShoppingCartBean,ShoppingCartBean,null,null
10,77,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,78,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,79,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,80,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,81,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,82,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,83,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
10,84,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
11,0,null,path.ImageServlet.doGet,path.ImageServlet.performTask,null,null,ImageServlet,ImageServlet,null,null
11,1,null,path.ImageServlet.performTask,path.Util.debug,null,null,ImageServlet,Util,null,null
11,2,null,path.ImageServlet.performTask,path.CatalogMgr.getItemImageBytes,null,null,ImageServlet,CatalogMgr,null,null
11,3,null,path.CatalogMgr.getItemImageBytes,path.CatalogMgr.getInv,null,null,CatalogMgr,CatalogMgr,null,null
11,4,null,path.CatalogMgr.getInv,path.Inventory.Inventory [overloaded_#001],null,null,CatalogMgr,Inventory,null,null
