1589149369750,click_config_env,AcmeAirConfiguration returns to Root,acmeair/src/main/java/com/acmeair/config/AcmeAirConfiguration.java:AcmeAirConfiguration:AcmeAirConfiguration,<None>:Root:<None>
1589149369756,click_config_env,Root calls AcmeAirConfiguration,<None>:Root:<None>,acmeair/src/main/java/com/acmeair/config/AcmeAirConfiguration.java:AcmeAirConfiguration:initialization
1589149369762,click_config_env,AcmeAirConfiguration returns to Root,acmeair/src/main/java/com/acmeair/config/AcmeAirConfiguration.java:AcmeAirConfiguration:initialization,<None>:Root:<None>
1589149369764,click_config_env,Root calls AcmeAirConfiguration,<None>:Root:<None>,acmeair/src/main/java/com/acmeair/config/AcmeAirConfiguration.java:AcmeAirConfiguration:getActiveDataServiceInfo
1589149369775,click_config_env,AcmeAirConfiguration calls ServiceLocator,acmeair/src/main/java/com/acmeair/config/AcmeAirConfiguration.java:AcmeAirConfiguration:getActiveDataServiceInfo,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:instance
1589149369776,click_config_env,ServiceLocator returns to AcmeAirConfiguration,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:instance,acmeair/src/main/java/com/acmeair/config/AcmeAirConfiguration.java:AcmeAirConfiguration:getActiveDataServiceInfo
1589149369777,click_config_env,AcmeAirConfiguration calls ServiceLocator,acmeair/src/main/java/com/acmeair/config/AcmeAirConfiguration.java:AcmeAirConfiguration:getActiveDataServiceInfo,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getServiceType
1589149369777,click_config_env,ServiceLocator returns to AcmeAirConfiguration,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getServiceType,acmeair/src/main/java/com/acmeair/config/AcmeAirConfiguration.java:AcmeAirConfiguration:getActiveDataServiceInfo
1589149369800,click_config_env,AcmeAirConfiguration returns to Root,acmeair/src/main/java/com/acmeair/config/AcmeAirConfiguration.java:AcmeAirConfiguration:getActiveDataServiceInfo,<None>:Root:<None>
1589149369935,click_config_env,Root calls ServiceLocator,<None>:Root:<None>,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:instance
1589149369935,click_config_env,ServiceLocator returns to Root,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:instance,<None>:Root:<None>
1589149369937,click_config_env,Root calls ServiceLocator,<None>:Root:<None>,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService
1589149369939,click_config_env,ServiceLocator calls BookingServiceImpl,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:initialization
1589149369940,click_config_env,BookingServiceImpl calls ConnectionManager,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:initialization,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getConnectionManager
